Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	country	introelapse	testelapse	surveyelapse	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	screenw	screenh	hand	religion	orientation	race	voted	married	familysize	major
5	5	2251	4	2	5278	5	4	2819	5	1	4069	4	6	2501	5	3	3121	US	8	20	96	2	2	1	7	6	5	6	4	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	3	1	1	17	1366	768	1	12	3	16	2	1	2	
3	4	5774	4	1	3248	5	5	4901	5	3	3474	5	6	4960	5	2	3904	US	14	42	305	5	2	6	2	7	5	7	1	6	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	3	2	2	1	54	375	667	0	12	1	16	1	2	3	English ed
5	1	4869	4	6	4569	5	5	2959	5	2	3360	5	4	3659	5	3	8550	NONE	2	28	96	6	5	7	5	7	1	7	1	6	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	2	2	2	17	1093	614	3	8	0	11	2	1	3	
5	4	2815	3	3	3417	5	2	5818	4	1	5922	4	6	2899	4	5	3032	US	2	25	331	4	5	5	3	7	6	5	5	5	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	2	2	1	17	320	568	1	2	3	16	2	1	1	
3	2	6773	4	1	3975	4	3	9796	4	4	2125	4	6	3672	5	5	6328	DE	9	34	90	7	6	2	7	7	2	4	6	2	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	3	3	3	2	22	1920	1080	3	1	2	16	1	1	3	psychology
3	6	10267	2	3	11500	3	1	22225	5	5	5198	4	4	18048	4	2	28476	HU	3	121	265	1	6	2	6	5	5	5	4	2	6	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	3	2	1	2	41	1280	800	2	12	1	16	2	2	1	Education
5	1	5313	4	3	2387	4	2	2934	5	5	2550	5	6	1960	5	4	2420	DE	1824	18	96	3	5	3	5	6	7	7	3	2	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	2	2	2	20	360	640	1	1	3	16	1	1	3	Computer science
2	6	6691	5	1	6906	3	5	4211	5	3	3720	3	4	9148	4	2	11074	CH	821	42	255	7	2	6	6	4	2	7	2	4	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	2	2	2	34	1366	768	1	12	0	16	2	1	2	
5	1	3819	5	6	2247	5	5	2790	5	2	4356	4	3	2566	5	4	2775	UY	3	19	105	1	3	3	3	7	7	7	7	3	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	3	2	2	14	1600	900	3	1	2	11	2	1	2	
5	5	2896	4	1	8064	5	3	4303	4	6	4241	5	4	3876	5	2	10438	CA	61	34	179	2	1	7	1	7	1	7	1	7	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	4	2	1	1	40	1368	912	1	12	2	16	1	1	3	
4	4	3882	4	3	3695	3	1	4403	5	5	1409	2	2	6750	4	6	3078	LU	872	30	102	6	7	5	5	5	3	7	6	3	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	2	1	1	2	18	1440	900	1	2	1	16	1	1	1	
4	6	4277	2	5	3644	5	1	6851	5	4	3863	4	2	6607	4	3	3746	BE	7	29	140	1	5	7	5	7	7	6	2	3	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	3	1	1	2	31	360	640	1	12	2	16	2	1	3	literature
4	4	9105	5	3	10677	1	2	15388	4	6	8128	5	5	8459	3	1	8322	GB	11	60	244	5	5	7	2	7	4	7	1	6	6	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	3	2	1	1	29	1920	1080	1	2	1	17	2	1	2	business
